method,mean_f1,vs_oracle,clean,mild,realistic,dense,sec
"pca_load[k=8,weighted=False]",0.4614,0.9339,0.4303,0.4748,0.4754,0.4650,1.3200
ae_masked_conv,0.4403,0.8913,0.4900,0.4195,0.4329,0.4190,969.7421
ae_masked,0.4251,0.8604,0.4838,0.4035,0.4144,0.3987,49.3338
band_cluster[method=ward],0.4167,0.8434,0.4230,0.4077,0.4281,0.4080,1.0889
concrete_ae[epochs=250],0.4154,0.8409,0.5322,0.3495,0.3803,0.3998,80.2368
ae_spectral,0.4149,0.8397,0.4324,0.3956,0.4307,0.4007,25.9946
"concrete_ae[epochs=250,hidden=256]",0.4133,0.8367,0.5173,0.3538,0.3783,0.4039,100.1213
nmf[k=12],0.4111,0.8322,0.4982,0.3803,0.3582,0.4077,7.2858
sparsepca[k=4],0.4105,0.8310,0.4767,0.3788,0.3861,0.4006,15.7570
nmf[k=8],0.4098,0.8294,0.4909,0.3674,0.3795,0.4013,5.9166
mrmr[alpha=0.6],0.4095,0.8289,0.4847,0.3594,0.4059,0.3880,0.6177
nmf[k=3],0.4091,0.8281,0.5020,0.3438,0.3754,0.4153,5.8102
nmf[k=5],0.4086,0.8270,0.4954,0.3570,0.3754,0.4064,5.5342
mrmr[alpha=1.0],0.4081,0.8261,0.4847,0.3825,0.3935,0.3719,0.7049
band_cluster[method=complete],0.4078,0.8254,0.4232,0.3790,0.4246,0.4042,1.1067
"pca_load[k=4,weighted=False]",0.4063,0.8224,0.4970,0.3938,0.3685,0.3659,1.0585
svd[k=16],0.4030,0.8156,0.4800,0.4196,0.3515,0.3607,1.0678
mrmr[alpha=2.0],0.4026,0.8150,0.4921,0.3625,0.3812,0.3747,0.9828
maxvar_decorr[thresh=0.9],0.4006,0.8110,0.4798,0.3411,0.3778,0.4039,0.7341
parafac[rank=8],0.3984,0.8064,0.4794,0.3869,0.3626,0.3646,3326.6931
svd[k=8],0.3962,0.8019,0.4931,0.3799,0.3497,0.3620,0.8142
parafac[rank=4],0.3952,0.7999,0.4895,0.3505,0.3679,0.3729,1211.1335
"pca_load[k=8,weighted=True]",0.3945,0.7985,0.5050,0.3437,0.3485,0.3807,0.8460
"cluster_fratio[k=6,pca=8,method=gmm]",0.3937,0.7969,0.5069,0.3367,0.3739,0.3574,1.6597
sparsepca[k=8],0.3934,0.7963,0.3762,0.4014,0.4111,0.3849,68.9108
"cluster_fratio[k=10,pca=8,method=kmeans]",0.3928,0.7951,0.5158,0.3274,0.3632,0.3650,1.7053
"cluster_fratio[k=10,pca=0,method=gmm]",0.3922,0.7938,0.5081,0.3301,0.3699,0.3606,6.9297
maxvar_decorr[thresh=0.8],0.3921,0.7937,0.4798,0.3389,0.3753,0.3745,0.8384
"cluster_fratio[k=6,pca=0,method=gmm]",0.3921,0.7937,0.4978,0.3437,0.3622,0.3648,5.4383
parafac[rank=6],0.3918,0.7930,0.4639,0.3650,0.3636,0.3746,3590.6136
"cluster_fratio[k=10,pca=0,method=kmeans]",0.3915,0.7924,0.4985,0.3390,0.3632,0.3654,4.2056
"cluster_fratio[k=10,pca=8,method=gmm]",0.3914,0.7923,0.5062,0.3380,0.3724,0.3490,2.2306
"pca_load[k=4,weighted=True]",0.3909,0.7911,0.5059,0.3372,0.3421,0.3782,0.8667
"cluster_fratio[k=4,pca=8,method=gmm]",0.3898,0.7891,0.5153,0.3401,0.3497,0.3542,1.4727
"cluster_fratio[k=6,pca=0,method=kmeans]",0.3894,0.7882,0.5014,0.3359,0.3600,0.3603,1.5476
maxvar_decorr[thresh=0.95],0.3885,0.7864,0.4798,0.3308,0.3574,0.3861,0.6461
"cluster_fratio[k=6,pca=8,method=kmeans]",0.3880,0.7854,0.4978,0.3370,0.3622,0.3551,1.6434
"cluster_fratio[k=4,pca=0,method=kmeans]",0.3870,0.7834,0.5053,0.3342,0.3641,0.3445,1.7163
"pca_load[k=16,weighted=True]",0.3866,0.7826,0.4837,0.3454,0.3485,0.3689,0.8412
"cluster_fratio[k=4,pca=0,method=gmm]",0.3860,0.7813,0.4957,0.3359,0.3641,0.3483,4.7101
ica[k=4],0.3859,0.7811,0.4949,0.3442,0.3513,0.3531,1.4211
derivative,0.3854,0.7802,0.4952,0.3415,0.3502,0.3548,0.7434
ica[k=16],0.3849,0.7791,0.4910,0.3442,0.3513,0.3531,2.3931
ica[k=8],0.3846,0.7785,0.4974,0.3395,0.3513,0.3503,1.7965
variance,0.3845,0.7783,0.4899,0.3437,0.3513,0.3531,0.6557
mean,0.3844,0.7781,0.4934,0.3398,0.3513,0.3531,0.5916
energy,0.3844,0.7781,0.4934,0.3398,0.3513,0.3531,0.6223
laplacian[k_nn=5],0.3842,0.7777,0.4918,0.3393,0.3543,0.3515,5.8106
svd[k=32],0.3841,0.7774,0.4964,0.3447,0.3410,0.3541,1.0526
"cluster_fratio[k=4,pca=8,method=kmeans]",0.3840,0.7774,0.4991,0.3286,0.3609,0.3476,1.4261
parafac[rank=2],0.3831,0.7755,0.4339,0.3729,0.3733,0.3525,4.2001
laplacian[k_nn=10],0.3823,0.7738,0.4809,0.3368,0.3629,0.3485,0.8984
parafac[rank=3],0.3794,0.7680,0.4200,0.3491,0.3924,0.3563,7.1084
mrmr[alpha=0.3],0.3772,0.7636,0.4861,0.3308,0.3444,0.3478,1.4947
