regime,method,lin_f1,bestNL_f1,gap,bacc,mcc,kappa,relevance,redundancy,gt_precision,gt_recall,stability
clean,random,0.4697,0.4669,-0.0028,0.4705,0.2151,0.2128,0.1759,0.0640,0.0972,0.0486,0.0295
clean,variance,0.4995,0.5085,0.0090,0.5085,0.2676,0.2656,0.2217,0.2894,0.1250,0.0625,0.5762
clean,pca_load,0.6465,0.6352,-0.0113,0.6359,0.4569,0.4561,0.5750,0.1990,0.6389,0.3194,0.2297
clean,laplacian,0.3416,0.3629,0.0213,0.3676,0.0537,0.0530,0.1122,0.4990,0.0000,0.0000,0.3770
clean,AE-conv,0.5690,0.5580,-0.0110,0.5592,0.3411,0.3395,0.4715,0.1681,0.5694,0.2847,0.2004
clean,AE-mlp,0.5699,0.5717,0.0018,0.5725,0.3611,0.3598,0.3690,0.1782,0.4306,0.2153,0.1397
clean,mutual_info*,0.6281,0.6129,-0.0152,0.6143,0.4253,0.4240,0.7495,0.1799,0.5972,0.2986,0.2032
clean,mRMR*,0.5323,0.5249,-0.0074,0.5274,0.2956,0.2933,0.5239,0.0277,0.2778,0.1389,0.0766
clean,all-bands,0.6651,0.6981,0.0330,0.6961,0.5532,0.5485,3.0357,0.0655,0.1053,1.0000,1.0000
realistic,random,0.4374,0.4532,0.0158,0.4562,0.1925,0.1905,0.1571,0.1054,0.0972,0.0486,0.0295
realistic,variance,0.3547,0.4013,0.0466,0.4042,0.1107,0.1094,0.2030,0.8642,0.0000,0.0000,1.0000
realistic,pca_load,0.5588,0.5308,-0.0279,0.5329,0.3059,0.3037,0.3030,0.1112,0.6944,0.3472,0.2093
realistic,laplacian,0.3544,0.3732,0.0189,0.3760,0.0665,0.0656,0.1565,0.7830,0.0000,0.0000,0.2801
realistic,AE-conv,0.5229,0.5104,-0.0125,0.5131,0.2743,0.2726,0.2446,0.1519,0.5000,0.2500,0.1899
realistic,AE-mlp,0.4933,0.5047,0.0114,0.5079,0.2678,0.2657,0.2328,0.2501,0.4167,0.2083,0.1090
realistic,mutual_info*,0.5201,0.5235,0.0035,0.5242,0.2910,0.2894,0.5450,0.1629,0.3611,0.1806,0.0826
realistic,mRMR*,0.4839,0.4712,-0.0127,0.4749,0.2178,0.2157,0.4251,0.0249,0.2639,0.1319,0.0622
realistic,all-bands,0.5921,0.6193,0.0272,0.6204,0.4412,0.4366,2.6438,0.1044,0.1053,1.0000,1.0000
reabsorb,random,0.3781,0.4092,0.0311,0.4136,0.1260,0.1241,0.1001,0.1136,0.0833,0.0417,0.0295
reabsorb,variance,0.3605,0.3871,0.0266,0.3914,0.0921,0.0904,0.2266,0.9091,0.0000,0.0000,1.0000
reabsorb,pca_load,0.4475,0.4314,-0.0160,0.4314,0.1478,0.1466,0.0820,0.0542,0.4444,0.2222,0.1225
reabsorb,laplacian,0.3398,0.3801,0.0403,0.3836,0.0781,0.0769,0.1855,0.7875,0.0000,0.0000,0.2750
reabsorb,AE-conv,0.4477,0.4466,-0.0011,0.4465,0.1705,0.1694,0.1590,0.1983,0.3194,0.1597,0.0947
reabsorb,AE-mlp,0.4151,0.4291,0.0139,0.4314,0.1516,0.1501,0.1983,0.5393,0.2222,0.1111,0.1359
reabsorb,mutual_info*,0.4190,0.4429,0.0239,0.4449,0.1732,0.1716,0.4406,0.2404,0.0972,0.0486,0.0477
reabsorb,mRMR*,0.4165,0.4088,-0.0077,0.4136,0.1254,0.1232,0.3391,0.0200,0.1944,0.0972,0.0549
reabsorb,all-bands,0.4699,0.4908,0.0210,0.4931,0.2511,0.2466,2.0649,0.1099,0.1053,1.0000,1.0000
fret,random,0.5005,0.5516,0.0512,0.5537,0.1096,0.1085,0.0621,0.1053,0.1389,0.0694,0.0295
fret,variance,0.4848,0.5511,0.0662,0.5520,0.1052,0.1046,0.1298,0.8654,0.1667,0.0833,1.0000
fret,pca_load,0.5517,0.6418,0.0901,0.6416,0.2851,0.2844,0.0774,0.1266,0.2361,0.1181,0.2241
fret,laplacian,0.4865,0.5275,0.0410,0.5320,0.0678,0.0656,0.0896,0.7881,0.1389,0.0694,0.2761
fret,AE-conv,0.5342,0.6115,0.0773,0.6117,0.2258,0.2249,0.0882,0.2187,0.1389,0.0694,0.1980
fret,AE-mlp,0.5293,0.6231,0.0938,0.6230,0.2488,0.2478,0.1059,0.3595,0.1667,0.0833,0.1104
fret,mutual_info*,0.5282,0.5792,0.0510,0.5798,0.1615,0.1607,0.3709,0.2516,0.1389,0.0694,0.0638
fret,mRMR*,0.5300,0.5385,0.0085,0.5408,0.0835,0.0825,0.2783,0.0202,0.0694,0.0347,0.0555
fret,all-bands,0.5584,0.6566,0.0982,0.6567,0.3142,0.3137,1.4628,0.1039,0.1053,1.0000,1.0000
