method,mean_f1,vs_oracle,clean,mild,realistic,dense
"pca_load[k=6,prep=none]",0.4773,0.9660,0.4732,0.4788,0.4860,0.4710
"pca_load[k=5,prep=l2]",0.4737,0.9589,0.4890,0.4702,0.4734,0.4624
"pca_load[k=5,prep=none]",0.4737,0.9588,0.5009,0.4583,0.4677,0.4678
"pca_load[k=7,prep=none]",0.4736,0.9586,0.4521,0.4837,0.4861,0.4724
"pca_load[k=5,prep=snv]",0.4698,0.9510,0.4773,0.4611,0.4722,0.4687
"pca_load[k=6,prep=snv]",0.4671,0.9456,0.4723,0.4502,0.4779,0.4682
"pca_load[k=6,prep=l2]",0.4670,0.9452,0.4859,0.4515,0.4744,0.4562
"pca_load[k=8,prep=none]",0.4614,0.9339,0.4303,0.4748,0.4754,0.4650
"pca_load[k=7,prep=l2]",0.4578,0.9267,0.4621,0.4496,0.4623,0.4573
"pca_load[k=7,prep=snv]",0.4554,0.9217,0.4290,0.4568,0.4686,0.4671
"pca_load[k=9,prep=none]",0.4493,0.9095,0.4122,0.4589,0.4631,0.4632
"pca_load[k=8,prep=snv]",0.4477,0.9063,0.4247,0.4526,0.4597,0.4540
"pca_load[k=9,prep=snv]",0.4376,0.8857,0.3995,0.4458,0.4447,0.4605
"pca_load[k=8,prep=l2]",0.4352,0.8810,0.4472,0.4227,0.4386,0.4325
consensus[k=8],0.4280,0.8663,0.4911,0.4040,0.4082,0.4087
"pca_load[k=10,prep=snv]",0.4272,0.8647,0.3810,0.4402,0.4367,0.4509
variance[prep=l2],0.4215,0.8531,0.4966,0.3855,0.3903,0.4135
"pca_load[k=10,prep=none]",0.4204,0.8509,0.3570,0.4507,0.4530,0.4210
"pca_load[k=12,prep=snv]",0.4161,0.8423,0.3554,0.4221,0.4356,0.4513
variance[prep=snv],0.4145,0.8390,0.4966,0.3675,0.3790,0.4150
"pca_load[k=9,prep=l2]",0.4048,0.8194,0.4102,0.3966,0.4086,0.4038
consensus[k=6],0.4016,0.8130,0.4928,0.3824,0.3551,0.3762
consensus[k=10],0.3981,0.8057,0.4461,0.3737,0.3949,0.3775
"pca_load[k=12,prep=none]",0.3851,0.7796,0.3484,0.4172,0.3919,0.3708
variance[prep=none],0.3845,0.7783,0.4899,0.3437,0.3513,0.3531
"pca_load[k=10,prep=l2]",0.3798,0.7688,0.4038,0.3729,0.3767,0.3659
variance[prep=deriv],0.3656,0.7400,0.4285,0.3432,0.3447,0.3459
"pca_load[k=12,prep=deriv]",0.3575,0.7236,0.3380,0.3566,0.3461,0.3892
"pca_load[k=10,prep=deriv]",0.3492,0.7068,0.3278,0.3440,0.3537,0.3712
"pca_load[k=7,prep=deriv]",0.3486,0.7057,0.3358,0.3522,0.3452,0.3614
"pca_load[k=8,prep=deriv]",0.3474,0.7032,0.3540,0.3394,0.3401,0.3560
"pca_load[k=12,prep=l2]",0.3436,0.6955,0.3618,0.3422,0.3381,0.3323
"pca_load[k=6,prep=deriv]",0.3436,0.6954,0.3443,0.3391,0.3500,0.3410
"pca_load[k=9,prep=deriv]",0.3430,0.6942,0.3483,0.3349,0.3289,0.3597
"pca_load[k=5,prep=deriv]",0.3426,0.6936,0.3408,0.3449,0.3362,0.3487
