regime,method,f1,oracle
g_2class,robust_disc,0.566588709791719,0.6169130240412791
g_2class,derivative_pca,0.5710995098463079,0.6169130240412791
g_2class,pca_load[k6],0.615178899485654,0.6169130240412791
g_2class,variance,0.536762853216755,0.6169130240412791
g_5class,robust_disc,0.2477366258424405,0.28050520742542795
g_5class,derivative_pca,0.2307869776317823,0.28050520742542795
g_5class,pca_load[k6],0.26488202015295786,0.28050520742542795
g_5class,variance,0.23306324480374163,0.28050520742542795
g_highoverlap,robust_disc,0.4182107344821483,0.45112818753528583
g_highoverlap,derivative_pca,0.42258509881193274,0.45112818753528583
g_highoverlap,pca_load[k6],0.455544177808922,0.45112818753528583
g_highoverlap,variance,0.3695925558567504,0.45112818753528583
g_lowoverlap,robust_disc,0.37598579451012193,0.47929265618422234
g_lowoverlap,derivative_pca,0.41305874079701915,0.47929265618422234
g_lowoverlap,pca_load[k6],0.46355475943717883,0.47929265618422234
g_lowoverlap,variance,0.37318864968115806,0.47929265618422234
g_faint,robust_disc,0.33018578250283387,0.36627755757926717
g_faint,derivative_pca,0.34267759615989524,0.36627755757926717
g_faint,pca_load[k6],0.3291910372126684,0.36627755757926717
g_faint,variance,0.4040411295743693,0.36627755757926717
g_heavynuis,robust_disc,0.3718965916299246,0.4304099110345935
g_heavynuis,derivative_pca,0.37033235520618285,0.4304099110345935
g_heavynuis,pca_load[k6],0.3871829779950201,0.4304099110345935
g_heavynuis,variance,0.40380916661181077,0.4304099110345935
g_lownoise,robust_disc,0.4885690761965345,0.5150558224323254
g_lownoise,derivative_pca,0.4866334944771008,0.5150558224323254
g_lownoise,pca_load[k6],0.4985032571784542,0.5150558224323254
g_lownoise,variance,0.4272095850510156,0.5150558224323254
