budget,seed,method,f1
6,1,discriminability-oracle,0.4660175573926004
6,1,variance-ranking,0.35054690598662147
6,1,C2 spectral,0.42119245246865455
6,1,C3 masked,0.3968524720939233
6,1,all bands,0.5122566611515604
6,2,discriminability-oracle,0.4633250209083932
6,2,variance-ranking,0.3271389827728774
6,2,C2 spectral,0.3387893006863432
6,2,C3 masked,0.31327783060742626
6,2,all bands,0.5133962486331903
6,3,discriminability-oracle,0.4454375655391891
6,3,variance-ranking,0.3629314186248224
6,3,C2 spectral,0.4088486505703615
6,3,C3 masked,0.38518951640974075
6,3,all bands,0.4856403402556338
6,4,discriminability-oracle,0.4873500750344468
6,4,variance-ranking,0.3372939101099777
6,4,C2 spectral,0.3295689782694915
6,4,C3 masked,0.35430642912656946
6,4,all bands,0.5076842416932469
6,5,discriminability-oracle,0.466194392239903
6,5,variance-ranking,0.35184456721861457
6,5,C2 spectral,0.3752445019379779
6,5,C3 masked,0.34200123203280625
6,5,all bands,0.5244016446771779
12,1,discriminability-oracle,0.46975231282336355
12,1,variance-ranking,0.3596163503664375
12,1,C2 spectral,0.4482901766845533
12,1,C3 masked,0.4663241828308056
12,1,all bands,0.5122566611515604
12,2,discriminability-oracle,0.5075658107026485
12,2,variance-ranking,0.32447785915144195
12,2,C2 spectral,0.37385607381502545
12,2,C3 masked,0.3641243050325585
12,2,all bands,0.5133962486331903
12,3,discriminability-oracle,0.4950883563612265
12,3,variance-ranking,0.3489576614706688
12,3,C2 spectral,0.46990311573845495
12,3,C3 masked,0.41264196683779747
12,3,all bands,0.4856403402556338
12,4,discriminability-oracle,0.5141956425155033
12,4,variance-ranking,0.3358152778486347
12,4,C2 spectral,0.33720385811182174
12,4,C3 masked,0.3854907985038207
12,4,all bands,0.5076842416932469
12,5,discriminability-oracle,0.49075704800512937
12,5,variance-ranking,0.35216087483341735
12,5,C2 spectral,0.4369324288305881
12,5,C3 masked,0.3825697439199836
12,5,all bands,0.5244016446771779
18,1,discriminability-oracle,0.5230002858082529
18,1,variance-ranking,0.3476691958834816
18,1,C2 spectral,0.46848866922194143
18,1,C3 masked,0.48299234752163106
18,1,all bands,0.5122566611515604
18,2,discriminability-oracle,0.5340300288395016
18,2,variance-ranking,0.3360834733348211
18,2,C2 spectral,0.3940149575682232
18,2,C3 masked,0.35980119750323797
18,2,all bands,0.5133962486331903
18,3,discriminability-oracle,0.5066208266605176
18,3,variance-ranking,0.35527344150752915
18,3,C2 spectral,0.4783582037554
18,3,C3 masked,0.4247176026282499
18,3,all bands,0.4856403402556338
18,4,discriminability-oracle,0.5163518460201791
18,4,variance-ranking,0.3493054115513085
18,4,C2 spectral,0.34289870710324655
18,4,C3 masked,0.3833395117856358
18,4,all bands,0.5076842416932469
18,5,discriminability-oracle,0.5293878833711386
18,5,variance-ranking,0.35532546356182104
18,5,C2 spectral,0.4516484769836037
18,5,C3 masked,0.399327718676123
18,5,all bands,0.5244016446771779
24,1,discriminability-oracle,0.5332502249340457
24,1,variance-ranking,0.370843377991815
24,1,C2 spectral,0.46091077481730824
24,1,C3 masked,0.49091372496448193
24,1,all bands,0.5122566611515604
24,2,discriminability-oracle,0.5625190170142929
24,2,variance-ranking,0.34383758185172514
24,2,C2 spectral,0.3980052870438941
24,2,C3 masked,0.3692129806860962
24,2,all bands,0.5133962486331903
24,3,discriminability-oracle,0.5373919164283948
24,3,variance-ranking,0.36381827777194875
24,3,C2 spectral,0.4869147014453044
24,3,C3 masked,0.457598522721452
24,3,all bands,0.4856403402556338
24,4,discriminability-oracle,0.5391223798340599
24,4,variance-ranking,0.36216594624569903
24,4,C2 spectral,0.3894284879033987
24,4,C3 masked,0.3980754820357409
24,4,all bands,0.5076842416932469
24,5,discriminability-oracle,0.545240374419297
24,5,variance-ranking,0.3755072438963862
24,5,C2 spectral,0.48006969438961783
24,5,C3 masked,0.4195053543012653
24,5,all bands,0.5244016446771779
