method,seed,f1,disc_frac,recon_R,infl_corr
all bands,1,0.5122566611515604,0.2807017543859649,,
variance-ranking,1,0.3596163503664375,0.3333333333333333,,
discriminability-oracle,1,0.46975231282336355,1.0,,
random,1,0.39287282074711033,0.08333333333333333,,
C2 spectral,1,0.4482901766845533,0.75,0.541048394438996,0.13994751155287188
C3 masked,1,0.4663241828308056,0.8333333333333334,0.5103210110189387,0.2455935845393197
C5 deep,1,0.3328128879332418,0.08333333333333333,0.8390405185808073,-0.4005024482359219
C5b deep-masked,1,0.42298758716546675,0.5833333333333334,0.6338537343961413,-0.00249792887192029
C6 conv,1,0.40172933550878764,0.3333333333333333,0.6266924701492179,0.10476909395923992
C7 masked-conv,1,0.45581437952431947,0.6666666666666666,0.5751737470908939,0.15650990546979657
all bands,2,0.5133962486331903,0.2807017543859649,,
variance-ranking,2,0.32447785915144195,0.3333333333333333,,
discriminability-oracle,2,0.5075658107026485,1.0,,
random,2,0.35271414215120583,0.3333333333333333,,
C2 spectral,2,0.37385607381502545,0.3333333333333333,0.5589315579173395,0.09338583262934508
C3 masked,2,0.3641243050325585,0.3333333333333333,0.5151821095202115,0.3652648008354142
C5 deep,2,0.312339566764333,0.16666666666666666,0.84469728420423,-0.3994781006664156
C5b deep-masked,2,0.3951738359577815,0.3333333333333333,0.639521849841627,0.48179864182657817
C6 conv,2,0.3966299275045684,0.25,0.6318091221958698,0.24157161818538317
C7 masked-conv,2,0.4178806421790471,0.4166666666666667,0.5884887474807977,0.17830652175853853
all bands,3,0.4856403402556338,0.2807017543859649,,
variance-ranking,3,0.3489576614706688,0.3333333333333333,,
discriminability-oracle,3,0.4950883563612265,1.0,,
random,3,0.3710560375002272,0.4166666666666667,,
C2 spectral,3,0.46990311573845495,1.0,0.5473132873235367,0.11279782888710957
C3 masked,3,0.41264196683779747,0.6666666666666666,0.5116113301999194,0.34934642613146316
C5 deep,3,0.31562325830469856,0.16666666666666666,0.8412548153846126,-0.39225381275798965
C5b deep-masked,3,0.3914966356406005,0.4166666666666667,0.63607357649995,0.1451320170446837
C6 conv,3,0.4212258643802273,0.25,0.6274482689043044,0.240765858455265
C7 masked-conv,3,0.4248850210479031,0.5,0.5826411949292722,0.17623416284656054
