model,mask_ratio,seed,f1,disc_frac,infl_corr
C5b deep-masked,0.3,1,0.3470975207081659,0.25,-0.1809697849392327
C5b deep-masked,0.3,2,0.32300163547027605,0.08333333333333333,-0.023799626360892064
C5b deep-masked,0.3,3,0.3590363981677203,0.16666666666666666,-0.15587992472079099
C5b deep-masked,0.5,1,0.42298758716546675,0.5833333333333334,-0.00249792887192029
C5b deep-masked,0.5,2,0.3951738359577815,0.3333333333333333,0.48179864182657817
C5b deep-masked,0.5,3,0.3914966356406005,0.4166666666666667,0.1451320170446837
C5b deep-masked,0.7,1,0.41953852938987324,0.4166666666666667,0.131376336861954
C5b deep-masked,0.7,2,0.3928314926170808,0.4166666666666667,0.4518217862882346
C5b deep-masked,0.7,3,0.40367776978664943,0.4166666666666667,0.22853972455658284
C7 masked-conv,0.3,1,0.44206793821311435,0.5833333333333334,0.18610385022638973
C7 masked-conv,0.3,2,0.3802192626091621,0.25,0.29069220618482705
C7 masked-conv,0.3,3,0.41812586159311566,0.4166666666666667,0.21853105088656438
C7 masked-conv,0.5,1,0.45581437952431947,0.6666666666666666,0.15650990546979657
C7 masked-conv,0.5,2,0.4178806421790471,0.4166666666666667,0.17830652175853853
C7 masked-conv,0.5,3,0.4248850210479031,0.5,0.17623416284656054
C7 masked-conv,0.7,1,0.45254084809471173,0.5833333333333334,0.22678757551054643
C7 masked-conv,0.7,2,0.3431666714230934,0.0,0.28693317391552264
C7 masked-conv,0.7,3,0.392868056720771,0.3333333333333333,0.13272737294317094
