confound_level,seed,method,f1,corr_var_F
0.0,1,all bands,0.4721471551634684,0.9251809813811829
0.0,1,discriminability-oracle,0.4809334815116242,
0.0,1,variance-ranking,0.4866217353465323,
0.0,1,C2 spectral,0.3980190468885047,
0.0,1,C3 masked,0.474670808463771,
0.0,1,random,0.3470552463986148,
0.0,2,all bands,0.4927771492990827,0.8883580511384371
0.0,2,discriminability-oracle,0.4981675536557469,
0.0,2,variance-ranking,0.5044152106846167,
0.0,2,C2 spectral,0.43228555319167855,
0.0,2,C3 masked,0.45746092433017194,
0.0,2,random,0.36132391900551536,
0.0,3,all bands,0.45482944743802384,0.8579422407629552
0.0,3,discriminability-oracle,0.47070057845540464,
0.0,3,variance-ranking,0.5071006520571611,
0.0,3,C2 spectral,0.43725313246101866,
0.0,3,C3 masked,0.4541278731778728,
0.0,3,random,0.3641303895462796,
0.0,4,all bands,0.46046637047078426,0.8668697446706257
0.0,4,discriminability-oracle,0.5141265180117677,
0.0,4,variance-ranking,0.5189146118460036,
0.0,4,C2 spectral,0.4982518093625074,
0.0,4,C3 masked,0.47696358633321984,
0.0,4,random,0.36702717088273046,
0.0,5,all bands,0.4651586140978665,0.8927274887406018
0.0,5,discriminability-oracle,0.5096595787422823,
0.0,5,variance-ranking,0.512802589126489,
0.0,5,C2 spectral,0.44681394754966414,
0.0,5,C3 masked,0.4752336005168217,
0.0,5,random,0.33202804192088076,
0.25,1,all bands,0.49931599368572516,-0.027048949371319922
0.25,1,discriminability-oracle,0.4803458872858604,
0.25,1,variance-ranking,0.3295291614108024,
0.25,1,C2 spectral,0.40706905966680945,
0.25,1,C3 masked,0.3861163260713389,
0.25,1,random,0.3722788137034398,
0.25,2,all bands,0.49646532959625933,-0.0527248085651117
0.25,2,discriminability-oracle,0.5165151440373474,
0.25,2,variance-ranking,0.34340117825951827,
0.25,2,C2 spectral,0.4277225461999086,
0.25,2,C3 masked,0.3929497709509537,
0.25,2,random,0.3717989050086175,
0.25,3,all bands,0.476388462806316,-0.011599662791560371
0.25,3,discriminability-oracle,0.4802950774945472,
0.25,3,variance-ranking,0.3448172314756171,
0.25,3,C2 spectral,0.43931110115257693,
0.25,3,C3 masked,0.4516429921411213,
0.25,3,random,0.34333661307643376,
0.25,4,all bands,0.48885325933820917,-0.041964365310994296
0.25,4,discriminability-oracle,0.49739134344375585,
0.25,4,variance-ranking,0.33494670931010256,
0.25,4,C2 spectral,0.35796956930929097,
0.25,4,C3 masked,0.37584610350769737,
0.25,4,random,0.3528550181372951,
0.25,5,all bands,0.4698796629331942,0.009751112258405189
0.25,5,discriminability-oracle,0.47240225970177274,
0.25,5,variance-ranking,0.35040700916281015,
0.25,5,C2 spectral,0.38486124863592724,
0.25,5,C3 masked,0.3749979209404049,
0.25,5,random,0.33904303535666563,
0.5,1,all bands,0.49362951880603373,-0.08472694725305152
0.5,1,discriminability-oracle,0.4913954180426505,
0.5,1,variance-ranking,0.3408316857285018,
0.5,1,C2 spectral,0.441888190962384,
0.5,1,C3 masked,0.4072493079267441,
0.5,1,random,0.3761524116157673,
0.5,2,all bands,0.4981517404410462,-0.09943234313799622
0.5,2,discriminability-oracle,0.48832346760194284,
0.5,2,variance-ranking,0.35198183724159954,
0.5,2,C2 spectral,0.3260198698035242,
0.5,2,C3 masked,0.3838385627371752,
0.5,2,random,0.3736017032947479,
0.5,3,all bands,0.48302573452729286,-0.055956232488761935
0.5,3,discriminability-oracle,0.48386126558867826,
0.5,3,variance-ranking,0.3532815161480092,
0.5,3,C2 spectral,0.472778751024955,
0.5,3,C3 masked,0.40980884925846656,
0.5,3,random,0.3646491267893073,
0.5,4,all bands,0.48096659203002634,-0.08006104520725359
0.5,4,discriminability-oracle,0.5055307339336927,
0.5,4,variance-ranking,0.3691932849224049,
0.5,4,C2 spectral,0.34669786574742284,
0.5,4,C3 masked,0.347242072527524,
0.5,4,random,0.359874785131783,
0.5,5,all bands,0.4789834971305181,-0.019229577578452325
0.5,5,discriminability-oracle,0.46399847186267357,
0.5,5,variance-ranking,0.33162181921185535,
0.5,5,C2 spectral,0.4306643432837299,
0.5,5,C3 masked,0.3619848593816635,
0.5,5,random,0.3520240149808884,
1.0,1,all bands,0.5122566611515604,-0.10076736310205453
1.0,1,discriminability-oracle,0.46975231282336355,
1.0,1,variance-ranking,0.3596163503664375,
1.0,1,C2 spectral,0.4482901766845533,
1.0,1,C3 masked,0.4663241828308056,
1.0,1,random,0.39287282074711033,
1.0,2,all bands,0.5133962486331903,-0.10446204930771529
1.0,2,discriminability-oracle,0.5075658107026485,
1.0,2,variance-ranking,0.32447785915144195,
1.0,2,C2 spectral,0.37385607381502545,
1.0,2,C3 masked,0.3641243050325585,
1.0,2,random,0.35271414215120583,
1.0,3,all bands,0.4856403402556338,-0.06880362955005966
1.0,3,discriminability-oracle,0.4950883563612265,
1.0,3,variance-ranking,0.3489576614706688,
1.0,3,C2 spectral,0.46990311573845495,
1.0,3,C3 masked,0.41264196683779747,
1.0,3,random,0.3710560375002272,
1.0,4,all bands,0.5076842416932469,-0.08951814120388674
1.0,4,discriminability-oracle,0.5141956425155033,
1.0,4,variance-ranking,0.3358152778486347,
1.0,4,C2 spectral,0.33720385811182174,
1.0,4,C3 masked,0.3854907985038207,
1.0,4,random,0.38194601221324076,
1.0,5,all bands,0.5244016446771779,-0.03483285144759824
1.0,5,discriminability-oracle,0.49075704800512937,
1.0,5,variance-ranking,0.35216087483341735,
1.0,5,C2 spectral,0.4369324288305881,
1.0,5,C3 masked,0.3825697439199836,
