config,clean,realistic,mean_f1,sec
conv a=relu m=0.0 L=8 d=3,0.4668,0.4640,0.4654,643.1722
conv a=gelu m=0.0 L=8 d=3,0.4761,0.4606,0.4684,636.3219
conv a=gelu m=0.0 L=8 d=2,0.5013,0.4456,0.4735,398.1399
conv a=relu m=0.5 L=8 d=2,0.4960,0.4426,0.4693,407.7285
conv a=gelu m=0.5 L=8 d=3,0.4876,0.4414,0.4645,649.0400
conv a=gelu m=0.7 L=8 d=3,0.4804,0.4376,0.4590,648.5636
conv a=relu m=0.0 L=8 d=2,0.4771,0.4292,0.4532,406.6361
conv a=gelu m=0.5 L=8 d=2,0.5016,0.4227,0.4621,409.5452
conv a=relu m=0.7 L=8 d=3,0.4865,0.4100,0.4482,648.0733
conv a=relu m=0.5 L=8 d=3,0.4709,0.4090,0.4399,646.5649
conv a=gelu m=0.7 L=8 d=2,0.5054,0.3998,0.4526,408.6867
conv a=relu m=0.7 L=8 d=2,0.4952,0.3868,0.4410,409.3787
