[swarm stage2] 24 configs | seeds=(1, 2) | TARGET pca_load realistic=0.490 clean=0.485 | oracle=0.500
config                               clean  realistic    mean beats pca?
conv a=relu L=8 d=3 w=64             0.452      0.464   0.458           
conv a=relu L=8 d=3 w=96             0.452      0.464   0.458           
conv a=relu L=8 d=4 w=64             0.412      0.422   0.417           
conv a=relu L=8 d=4 w=96             0.412      0.422   0.417           
conv a=relu L=8 d=5 w=64             0.402      0.435   0.419           
conv a=relu L=8 d=5 w=96             0.402      0.435   0.419           
conv a=relu L=12 d=3 w=64            0.335      0.421   0.378           
conv a=relu L=12 d=3 w=96            0.335      0.421   0.378           
conv a=relu L=12 d=4 w=64            0.409      0.336   0.372           
conv a=relu L=12 d=4 w=96            0.409      0.336   0.372           
conv a=relu L=12 d=5 w=64            0.405      0.427   0.416           
conv a=relu L=12 d=5 w=96            0.405      0.427   0.416           
conv a=gelu L=8 d=3 w=64             0.448      0.441   0.444           
conv a=gelu L=8 d=3 w=96             0.448      0.441   0.444           
conv a=gelu L=8 d=4 w=64             0.411      0.378   0.394           
